Date,BBCA.JK,TLKM.JK,ASII.JK,BBRI.JK,SIDO.JK,PGAS.JK,ADRO.JK,KAEF.JK,ANTM.JK,INDY.JK
2023-03-30,64.4853,59.6544,51.5247,60.1726,47.3115,38.4529,52.0754,36.4761,62.4765,59.0244
2023-03-31,60.9382,56.338,57.2158,58.2238,55.4932,36.7004,53.9826,35.7321,62.4765,61.0254
2023-04-03,62.4223,58.0138,57.2158,62.7687,52.5632,33.9252,56.47,34.2284,62.4765,62.5044
2023-04-04,61.1709,55.711,58.6242,63.9746,48.4323,43.1794,62.4769,35.6857,56.4116,64.8953
2023-04-05,58.639,62.856,56.6171,64.5921,45.8456,40.7225,62.977,34.0602,61.4493,67.9743
2023-04-06,59.5407,68.8661,50.9781,65.2339,44.564,38.3713,59.5572,34.0602,61.4493,66.1881
2023-04-10,61.3553,71.3613,54.2496,66.5402,44.0188,37.2143,57.0548,32.3511,50.5979,60.2231
2023-04-11,62.2666,71.3613,59.9991,67.8414,50.5356,41.0432,60.6187,34.1308,59.3046,62.3132
2023-04-12,64.9378,71.884,67.6588,70.8894,47.5548,42.9176,53.453,33.1905,59.3046,63.8475
2023-04-13,65.8067,73.4495,67.6588,73.5855,47.5548,42.1952,53.453,35.1156,61.0727,70.6991
2023-04-14,68.3415,73.4495,63.6219,77.7938,45.982,44.2174,50.3831,34.0587,58.3428,67.2669
2023-04-17,69.1621,63.8317,64.7543,67.4409,49.5741,47.2012,46.1057,41.627,59.3219,67.6892
2023-04-18,72.2596,63.8317,72.2076,63.1798,43.3633,50.0769,55.5816,38.0955,56.4636,72.6324
2023-04-26,74.3413,71.7883,78.8351,67.3458,50.0963,54.5228,60.8735,38.0955,57.5646,58.5367
2023-04-27,70.5409,62.6539,78.8351,72.8579,44.4106,51.5561,59.3505,35.7505,53.2167,57.8998
2023-04-28,63.5442,55.946,79.8484,67.9192,41.8529,51.5561,61.9158,35.7505,55.6231,57.8998
2023-05-02,63.5442,50.9142,74.1163,70.1017,43.6019,44.13,51.4301,34.5184,50.0753,48.6848
2023-05-03,55.5558,47.826,70.4836,65.3162,47.0333,45.1927,49.0448,34.5184,57.0029,45.0792
2023-05-04,58.8948,47.826,68.6713,67.6914,48.7136,42.5763,47.8498,31.9632,58.0477,41.7493
2023-05-05,58.8948,49.5987,72.1099,70.9095,45.598,40.8772,40.8779,28.5493,46.9822,45.0437
2023-05-08,58.8948,41.2892,70.0796,60.1551,47.4092,45.5567,46.0841,25.6042,50.3779,45.7323
2023-05-09,53.8426,42.2366,75.9205,61.4155,45.7683,50.799,47.3328,25.6042,54.5571,44.5305
2023-05-10,53.8426,47.691,75.9205,62.6866,38.5785,52.7585,50.4239,28.4573,53.3474,46.0571
2023-05-11,47.5368,44.6632,69.9792,62.6866,38.5785,51.6509,42.8418,28.4573,46.6623,42.2964
2023-05-12,46.0837,37.5944,68.067,62.6866,38.5785,51.6509,40.9474,25.1072,42.8107,41.092
2023-05-15,44.615,37.5944,72.1628,62.6866,38.5785,49.2524,36.591,33.5337,41.88,39.8693
2023-05-16,40.4501,37.5944,66.6399,65.7242,37.0143,42.8272,37.3093,31.0273,40.0067,37.4681
2023-05-17,45.89,38.6961,68.3775,65.7242,37.0143,41.8474,32.2024,25.8297,36.8964,34.6582
2023-05-19,58.2203,42.0038,72.9323,75.1202,35.3519,36.4577,28.0654,21.8821,39.7776,29.4293
2023-05-22,58.2203,44.1666,76.0307,76.0057,33.7209,40.5786,31.6998,17.3208,38.3629,31.4542
2023-05-23,63.5692,44.1666,76.0307,78.48,39.7117,40.5786,37.0726,17.3208,39.1399,35.9102
2023-05-24,57.2541,55.6703,77.7991,81.2555,45.0595,43.4159,35.3788,15.0472,39.9551,33.8064
2023-05-25,58.3676,51.8364,72.0728,69.235,43.0054,40.3069,30.5014,14.6335,39.387,32.7726
2023-05-26,62.5679,52.7132,72.0728,73.4627,39.1604,38.336,29.491,13.8154,36.5857,28.958
2023-05-29,62.5679,58.4193,72.0728,69.357,39.1604,54.0604,28.8059,13.8154,39.3719,27.8664
2023-05-30,66.489,50.865,64.2032,65.4196,37.2301,60.7016,32.1984,13.8154,40.3133,27.642
2023-05-31,54.2493,44.6474,60.638,68.3244,27.1441,56.3177,29.5451,13.8154,35.04,25.8484
