Date,ADRO.JK,ANTM.JK,ASII.JK,BBCA.JK,BBRI.JK,INDY.JK,KAEF.JK,PGAS.JK,SIDO.JK,TLKM.JK
2023-02-24,2860.0,1986.66,5666.66,8616.66,4733.34,2226.66,1040.0,1513.34,860.0,3980.0
2023-02-27,2910.0,1983.34,5733.34,8691.66,4776.66,2236.66,1046.66,1525.0,845.0,3920.0
2023-02-28,2920.0,1973.34,6041.66,8691.66,4630.0,2243.34,1048.34,1545.0,860.0,3850.0
2023-03-01,2950.0,1976.66,6075.0,8550.0,4696.66,2280.0,1056.66,1538.34,866.66,3896.66
2023-03-02,2963.34,1993.34,6091.66,8583.34,4740.0,2303.34,1091.66,1565.0,881.66,3863.34
2023-03-03,2983.34,1973.34,6000.0,8408.34,4726.66,2313.34,1038.34,1568.34,885.0,3873.34
2023-03-06,2866.66,1936.66,6041.66,8350.0,4780.0,2250.0,1035.0,1583.34,890.0,3850.0
2023-03-07,2836.66,1923.34,5875.0,8358.34,4790.0,2210.0,1031.66,1533.34,893.34,3850.0
2023-03-08,2846.66,1860.0,5875.0,8458.34,4823.34,2176.66,1015.0,1528.34,878.34,3880.0
2023-03-09,2883.34,1860.0,5966.66,8533.34,4790.0,2190.0,1011.66,1546.66,876.66,3953.34
2023-03-10,2840.0,1855.0,5916.66,8416.66,4803.34,2163.34,1018.34,1536.66,870.0,3953.34
2023-03-13,2863.34,1836.66,5858.34,8458.34,4776.66,2206.66,1011.66,1533.34,830.0,4003.34
2023-03-14,2723.34,1788.34,5708.34,8275.0,4670.0,2156.66,950.0,1438.34,818.34,3983.34
2023-03-15,2713.34,1831.66,5741.66,8275.0,4676.66,2103.34,986.66,1381.66,841.66,3983.34
2023-03-16,2586.66,1758.34,5725.0,8250.0,4663.34,1973.34,963.34,1330.0,816.66,4000.0
2023-03-17,2693.34,1838.34,5825.0,8316.66,4800.0,2046.66,953.34,1368.34,818.34,4020.0
2023-03-20,2693.34,1873.34,5816.66,8358.34,4840.0,2016.66,926.66,1310.0,816.66,3936.66
2023-03-21,2703.34,1875.0,5825.0,8416.66,4853.34,2016.66,928.34,1338.34,818.34,4040.0
2023-03-24,2660.0,1873.34,5900.0,8691.66,4720.0,2010.0,923.34,1350.0,825.0,4046.66
2023-03-27,2653.34,1926.66,5841.66,8658.34,4710.0,2043.34,920.0,1358.34,845.0,4013.34
2023-03-28,2713.34,1973.34,5825.0,8633.34,4746.66,2146.66,910.0,1368.34,855.0,4020.0
2023-03-29,2816.66,2023.34,5850.0,8683.34,4780.0,2320.0,906.66,1388.34,855.0,4073.34
2023-03-30,2840.0,2056.66,5875.0,8783.34,4723.34,2333.34,896.66,1385.0,831.66,4043.34
2023-03-31,2856.66,2060.0,5941.66,8700.0,4710.0,2363.34,906.66,1371.66,853.34,4026.66
2023-04-03,2913.34,2070.0,5950.0,8758.34,4773.34,2416.66,905.0,1330.0,851.66,4066.66
2023-04-04,3013.34,2026.66,5966.66,8675.0,4780.0,2463.34,911.66,1360.0,835.0,4033.34
2023-04-05,3016.66,2063.34,5966.66,8700.0,4793.34,2483.34,906.66,1373.34,828.34,4096.66
2023-04-06,2986.66,2080.0,5900.0,8708.34,4820.0,2523.34,905.0,1355.0,818.34,4190.0
2023-04-10,2953.34,1986.66,5908.34,8733.34,4833.34,2433.34,893.34,1343.34,795.0,4226.66
2023-04-11,2986.66,2056.66,5966.66,8775.0,4843.34,2470.0,898.34,1360.0,810.0,4266.66
2023-04-12,2910.0,2093.34,6150.0,8850.0,4896.66,2510.0,898.34,1375.0,808.34,4263.34
2023-04-13,2936.66,2110.0,6191.66,8883.34,4940.0,2593.34,900.0,1370.0,806.66,4303.34
2023-04-14,2896.66,2093.34,6166.66,8966.66,5016.66,2623.34,896.66,1380.0,805.0,4320.0
2023-04-17,2830.0,2100.0,6191.66,8933.34,4941.66,2640.0,896.66,1380.0,810.0,4233.34
2023-04-18,2906.66,2076.66,6308.34,9041.66,4925.0,2713.34,890.0,1406.66,795.0,4240.0
2023-04-26,3036.66,2076.66,6566.66,9066.66,4920.0,2590.0,896.66,1416.66,806.66,4320.0
2023-04-27,3050.0,2066.66,6641.66,9091.66,5043.34,2526.66,888.34,1421.66,793.34,4263.34
2023-04-28,3073.34,2076.66,6700.0,9025.0,5041.66,2576.66,888.34,1420.0,780.0,4206.66
2023-05-02,2926.66,2026.66,6591.66,8933.34,5075.0,2390.0,885.0,1368.34,783.34,4140.0
2023-05-03,2896.66,2096.66,6541.66,8850.0,5025.0,2340.0,875.0,1373.34,793.34,4086.66
2023-05-04,2880.0,2110.0,6558.34,8908.34,5091.66,2263.34,871.66,1368.34,801.66,4130.0
2023-05-05,2733.34,1996.66,6150.0,8950.0,5150.0,2150.0,853.34,1356.66,791.66,4110.0
2023-05-08,2810.0,2043.34,6058.34,8941.66,5016.66,2073.34,838.34,1373.34,793.34,4006.66
2023-05-09,2863.34,2080.0,6158.34,8891.66,5058.34,2113.34,843.34,1393.34,795.0,4036.66
2023-05-10,2903.34,2073.34,6275.0,8900.0,5083.34,2126.66,846.66,1413.34,761.66,4070.0
2023-05-11,2723.34,2020.0,6166.66,8783.34,5108.34,2080.0,850.0,1405.0,761.66,4060.0
2023-05-12,2740.0,1983.34,6175.0,8725.0,5108.34,2060.0,833.34,1405.0,765.0,3936.66
2023-05-15,2596.66,1966.66,6233.34,8708.34,5058.34,2026.66,843.34,1400.0,765.0,3943.34
2023-05-16,2640.0,1950.0,6216.66,8658.34,5133.34,1983.34,828.34,1365.0,763.34,3940.0
2023-05-17,2483.34,1911.66,6283.34,8733.34,5166.66,1943.34,803.34,1361.66,765.0,3960.0
2023-05-19,2346.66,1926.66,6366.66,8883.34,5250.0,1825.0,781.66,1330.0,760.0,3973.34
2023-05-22,2416.66,1920.0,6466.66,8925.0,5316.66,1856.66,741.66,1345.0,753.34,3986.66
2023-05-23,2290.0,1933.34,6550.0,9050.0,5450.0,1890.0,741.66,1348.34,761.66,4020.0
2023-05-24,2210.0,1943.34,6558.34,8966.66,5500.0,1863.34,716.66,1360.0,773.34,4053.34
2023-05-25,2093.34,1935.0,6516.66,9016.66,5425.0,1848.34,715.0,1346.66,770.0,4086.66
2023-05-26,2056.66,1910.0,6550.0,9100.0,5483.34,1748.34,705.0,1326.66,756.66,4106.66
2023-05-29,2010.0,1915.0,6508.34,9066.66,5475.0,1708.34,705.0,1355.0,756.66,4126.66
2023-05-30,2063.34,1926.66,6466.66,9158.34,5466.66,1736.66,710.0,1381.66,756.66,4096.66
2023-05-31,2003.34,1878.34,6400.0,8958.34,5441.66,1698.34,705.0,1415.0,711.66,4000.0
2023-06-05,2063.34,1921.66,6550.0,9091.66,5366.66,1743.34,698.34,1425.0,706.66,4023.34
2023-06-06,2176.66,1986.66,6725.0,9066.66,5366.66,1835.0,701.66,1418.34,728.34,4050.0
2023-06-07,2140.0,1996.66,6700.0,9058.34,5341.66,1833.34,740.0,1415.0,725.0,4103.34
2023-06-08,2170.0,1966.66,6725.0,9091.66,5391.66,1886.66,778.34,1420.0,745.0,4133.34
2023-06-09,2163.34,1965.0,6733.34,9075.0,5383.34,1873.34,765.0,1420.0,748.34,4136.66
2023-06-12,2193.34,1980.0,6700.0,9116.66,5383.34,1893.34,770.0,1298.34,750.0,4023.34
2023-06-13,2166.66,1986.66,6725.0,9108.34,5450.0,1875.0,761.66,1296.66,751.66,4020.0
2023-06-14,2213.34,2010.0,6800.0,9041.66,5491.66,1918.34,773.34,1298.34,753.34,3980.0
2023-06-15,2236.66,2016.66,6833.34,9033.34,5475.0,1963.34,766.66,1305.0,740.0,3986.66
2023-06-16,2296.66,2033.34,6791.66,8983.34,5450.0,1953.34,765.0,1296.66,723.34,3943.34
2023-06-19,2240.0,2013.34,6808.34,8983.34,5475.0,1916.66,760.0,1310.0,720.0,3943.34
2023-06-20,2250.0,2006.66,6766.66,8983.34,5500.0,1913.34,763.34,1306.66,723.34,3963.34
2023-06-21,2243.34,1996.66,6791.66,9041.66,5525.0,1915.0,803.34,1298.34,713.34,3960.0
2023-06-22,2236.66,1993.34,6733.34,9016.66,5433.34,1916.66,783.34,1301.66,718.34,3923.34
2023-06-23,2213.34,1996.66,6708.34,9000.0,5375.0,1905.0,776.66,1295.0,726.66,3940.0
2023-06-26,2186.66,1931.66,6750.0,9025.0,5391.66,1890.0,773.34,1300.0,723.34,3956.66
2023-06-27,2206.66,1945.0,6750.0,9083.34,5400.0,1900.0,773.34,1301.66,725.0,3983.34
2023-07-03,2280.0,1950.0,6775.0,9041.66,5433.34,1928.34,783.34,1306.66,716.66,3970.0
2023-07-04,2316.66,1960.0,6708.34,9016.66,5416.66,1945.0,790.0,1316.66,720.0,3956.66
2023-07-05,2366.66,1966.66,6725.0,9025.0,5416.66,1996.66,826.66,1336.66,716.66,3960.0
2023-07-06,2420.0,1990.0,6766.66,9033.34,5391.66,2073.34,838.34,1346.66,721.66,3950.0
2023-07-07,2360.0,1960.0,6775.0,9000.0,5358.34,2003.34,838.34,1340.0,725.0,3946.66
2023-07-10,2386.66,1975.0,6758.34,9033.34,5366.66,2030.0,845.0,1345.0,728.34,3933.34
2023-07-11,2400.0,1986.66,6766.66,9000.0,5383.34,2036.66,835.0,1326.66,731.66,3956.66
2023-07-12,2350.0,1983.34,6741.66,9091.66,5425.0,2020.0,796.66,1333.34,738.34,3963.34
2023-07-13,2283.34,1976.66,6758.34,9091.66,5425.0,2006.66,831.66,1333.34,713.34,3896.66
2023-07-14,2333.34,1990.0,6691.66,9150.0,5458.34,2036.66,841.66,1343.34,713.34,3913.34
2023-07-17,2370.0,1980.0,6641.66,9150.0,5525.0,2046.66,840.0,1360.0,715.0,3890.0
2023-07-18,2303.34,1973.34,6466.66,9083.34,5583.34,2016.66,840.0,1356.66,706.66,3803.34
2023-07-20,2353.34,1976.66,6458.34,9108.34,5566.66,2040.0,840.0,1361.66,676.66,3820.0
2023-07-21,2390.0,1966.66,6375.0,9125.0,5591.66,2060.0,835.0,1370.0,693.34,3843.34
2023-07-24,2420.0,1970.0,6433.34,9066.66,5583.34,2086.66,833.34,1380.0,696.66,3870.0
2023-07-25,2400.0,1966.66,6458.34,9100.0,5616.66,2066.66,835.0,1363.34,690.0,3866.66
2023-07-26,2463.34,1973.34,6525.0,9200.0,5650.0,2126.66,841.66,1373.34,676.66,3840.0
2023-07-27,2426.66,1963.34,6483.34,9166.66,5616.66,2110.0,830.0,1358.34,638.34,3673.34
2023-07-28,2426.66,1951.66,6525.0,9091.66,5650.0,2106.66,828.34,1358.34,633.34,3690.0
2023-07-31,2370.0,1966.66,6733.34,9083.34,5633.34,1930.0,831.66,1358.34,630.0,3676.66
2023-08-01,2370.0,2000.0,6816.66,9091.66,5650.0,1928.34,865.0,1368.34,635.0,3706.66
2023-08-02,2346.66,1983.34,6800.0,9150.0,5658.34,1923.34,851.66,1370.0,601.66,3666.66
2023-08-03,2343.34,1993.34,6766.66,9166.66,5650.0,1941.66,861.66,1373.34,620.0,3673.34
2023-08-04,2380.0,2000.0,6750.0,9091.66,5525.0,1970.0,865.0,1380.0,631.66,3676.66
2023-08-07,2360.0,2023.34,6783.34,9191.66,5608.34,1945.0,845.0,1385.0,641.66,3666.66
2023-08-08,2353.34,1990.0,6816.66,9166.66,5566.66,1948.34,828.34,1395.0,650.0,3686.66
2023-08-09,2380.0,1993.34,6841.66,9300.0,5641.66,1948.34,808.34,1385.0,635.0,3740.0
2023-08-10,2393.34,1980.0,6708.34,9358.34,5675.0,1970.0,820.0,1386.66,636.66,3790.0
